기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2016	도봉구	10월	16	14	-	2	1	-	99.7	41,866	24,693	17,173	598,878	-	-	-	-	-
2016	도봉구	11월	20	18	-	2	2	-	153.9	25,961	19,377	6,584	1,091,530	-	-	-	-	-
2016	도봉구	12월	8	6	-	2	1	1	19.9	20,738	7,814	12,924	234,292	-	-	-	4	1
2016	노원구	계	278	244	12	22	25	7	1,044.5	350,936	203,253	147,683	5,759,774	16	1	15	11	1
2016	노원구	1월	32	26	-	6	4	-	247	89,897	47,313	42,584	1,761,678	2	-	2	-	-
2016	노원구	2월	25	20	3	2	2	-	142	23,191	11,454	11,737	876,225	1	-	1	-	-
2016	노원구	3월	27	21	2	4	1	-	173	82,040	62,606	19,434	918,446	5	-	5	-	-
2016	노원구	4월	26	25	-	1	-	-	170.9	29,348	19,786	9,562	335,085	-	-	-	-	-
2016	노원구	5월	27	24	2	1	3	-	2	18,814	3,258	15,556	813,120	-	-	-	-	-
2016	노원구	6월	20	17	1	2	-	-	-	614	-	614	-	-	-	-	-	-
2016	노원구	7월	20	20	-	-	2	1	70	15,383	10,926	4,457	380,352	-	-	-	2	-
2016	노원구	8월	24	22	1	1	2	1	39.6	14,608	8,806	5,802	242,155	4	-	4	2	-
2016	노원구	9월	24	20	2	2	4	1	50	22,455	12,316	10,139	127,937	1	-	1	1	-
2016	노원구	10월	18	17	-	1	5	4	101	34,772	14,314	20,458	84,142	1	-	1	6	-
2016	노원구	11월	15	15	-	-	-	-	-	1,926	339	1,587	76,755	-	-	-	-	-
2016	노원구	12월	20	17	1	2	2	-	49	17,888	12,135	5,753	143,879	2	1	1	-	1
2016	은평구	계	217	190	6	21	6	1	541.5	237,240	114,031	123,209	230,644	8	2	6	3	13
2016	은평구	1월	20	18	1	1	-	-	56.5	10,958	5,484	5,474	-	-	-	-	-	-
2016	은평구	2월	24	21	-	3	-	-	19	14,265	5,258	9,007	-	-	-	-	-	-
2016	은평구	3월	26	23	1	2	-	-	3	10,511	2,253	8,258	3,328	1	-	1	-	-
2016	은평구	4월	26	23	-	3	2	-	50	23,776	13,272	10,504	354	1	-	1	-	-
2016	은평구	5월	18	15	1	2	-	-	154	7,446	3,342	4,104	16,510	-	-	-	-	-
2016	은평구	6월	18	17	-	1	-	-	-	1,288	51	1,237	-	1	-	1	-	1
2016	은평구	7월	16	15	-	1	-	-	20	11,333	6,666	4,667	-	-	-	-	-	-
2016	은평구	8월	15	13	-	2	-	-	26	14,405	10,529	3,876	56,848	-	-	-	-	-
2016	은평구	9월	16	14	1	1	-	-	3	77,738	25,314	52,424	90,842	1	-	1	-	4
2016	은평구	10월	11	9	-	2	2	1	35	21,095	9,167	11,928	62,762	2	1	1	3	-
2016	은평구	11월	14	11	1	2	-	-	128	9,283	5,240	4,043	-	1	1	-	-	-
2016	은평구	12월	13	11	1	1	2	-	47	35,142	27,455	7,687	-	1	-	1	-	8
